차종,차량 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Veloster (FS),승용차,내수,56.0,67.0,85.0,94.0,46.0,83.0,36.0,38.0,25.0,47.0,33.0,24.0,5.0,2.0,20.0,15.0,19.0,14.0,12.0,12.0,15.0,21.0,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veloster (JS),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,279.0,435.0,335.0,312.0,312.0,237.0,243.0,250.0,190.0,396.0,82.0,113.0,130.0,74.0,133.0,137.0,104.0,91.0,73.0,45.0,104.0,84.0,31.0,88.0,101.0,116.0,142.0,174.0,79.0,58.0,86.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,30.0,22.0,34.0,29.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veloster (JS N),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,444.0,260.0,157.0,78.0,202.0,112.0,68.0,71.0,76.0,160.0,95.0,74.0,70.0,58.0,82.0,55.0,84.0,55.0,52.0,88.0,112.0,85.0,267.0,183.0,37.0,212.0,129.0,99.0,69.0,45.0,41.0,78.0,42.0,93.0,47.0,29.0,22.0,41.0,26.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coupe (BK),승용차,내수,8.0,4.0,20.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (YF),승용차,내수,636.0,486.0,611.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (LF),승용차,내수,5035.0,4839.0,5906.0,5682.0,7755.0,8002.0,6341.0,5528.0,5717.0,5179.0,5581.0,6318.0,3769.0,4104.0,7115.0,8748.0,7227.0,8565.0,6072.0,5971.0,5970.0,7039.0,6805.0,5708.0,5230.0,4781.0,5377.0,5365.0,5191.0,4941.0,5610.0,5541.0,4147.0,5993.0,4909.0,4639.0,4271.0,5363.0,5660.0,2529.0,2026.0,1865.0,1737.0,1861.0,1799.0,2444.0,2081.0,1895.0,1668.0,1783.0,1729.0,1451.0,1597.0,1875.0,1644.0,1447.0,1515.0,1742.0,1507.0,1415.0,1118.0,1254.0,2006.0,1928.0,1078.0,2353.0,827.0,850.0,1428.0,2116.0,330.0,1988.0,141.0,1199.0,1054.0,1509.0,1677.0,827.0,1511.0,1513.0,1963.0,1829.0,1693.0,1463.0,996.0,1012.0,1230.0,1603.0,901.0,1162.0,673.0,401.0,407.0,303.0,321.0,310.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (HEV),승용차,내수,523.0,582.0,527.0,1275.0,558.0,752.0,505.0,383.0,376.0,384.0,320.0,886.0,222.0,331.0,331.0,370.0,359.0,650.0,579.0,450.0,413.0,311.0,641.0,609.0,289.0,294.0,304.0,333.0,347.0,302.0,338.0,333.0,244.0,323.0,416.0,545.0,265.0,317.0,260.0,172.0,126.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (PHEV),승용차,내수,13.0,8.0,9.0,5.0,17.0,13.0,12.0,9.0,10.0,6.0,6.0,9.0,4.0,5.0,6.0,9.0,9.0,0.0,1.0,3.0,7.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,0.0,7.0,5.0,10.0,10.0,6.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonata (DN8),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,6128.0,11224.0,7887.0,6333.0,5547.0,4045.0,6531.0,5548.0,5452.0,3743.0,3044.0,4804.0,3341.0,2924.0,5123.0,2942.0,2604.0,2385.0,3333.0,2433.0,2182.0,2114.0,2316.0,3806.0,4598.0,3538.0,3112.0,2348.0,3173.0,3063.0,3394.0,3794.0,3141.0,1748.0,2486.0,2629.0,2242.0,2196.0,3261.0,2616.0,2463.0,2411.0,1280.0,1672.0,2502.0,1189.0,842.0,608.0,422.0,1432.0,2258.0,1588.0,1856.0,1869.0,3537.0,3498.0,3612.0,379.0,1187.0,3298.0,3307.0,3207.0,2234.0,2412.0,2239.0,2296.0,2199.0,3133.0,3487.0,1785.0,2089.0
Sonata (DN8 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,1312.0,1713.0,1203.0,1225.0,1012.0,195.0,720.0,593.0,1306.0,1065.0,627.0,544.0,689.0,595.0,1098.0,765.0,380.0,616.0,421.0,542.0,515.0,662.0,537.0,663.0,512.0,626.0,1055.0,907.0,147.0,491.0,634.0,414.0,117.0,629.0,285.0,356.0,211.0,214.0,374.0,551.0,354.0,386.0,377.0,207.0,297.0,693.0,554.0,744.0,671.0,1009.0,1076.0,1243.0,117.0,210.0,776.0,786.0,778.0,814.0,695.0,956.0,1043.0,1194.0,1186.0,1348.0,517.0,961.0
i40 (VF),승용차,내수,122.0,107.0,299.0,150.0,101.0,112.0,83.0,68.0,84.0,68.0,33.0,60.0,8.0,7.0,12.0,8.0,41.0,56.0,35.0,25.0,26.0,44.0,21.0,29.0,14.0,17.0,8.0,28.0,13.0,8.0,20.0,24.0,14.0,20.0,30.0,17.0,7.0,14.0,16.0,6.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandeur (HG),승용차,내수,4419.0,3331.0,4006.0,3901.0,4518.0,5357.0,2993.0,2772.0,3050.0,3160.0,3145.0,2697.0,961.0,764.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandeur (IG),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4369.0,13800.0,9413.0,9990.0,13112.0,11502.0,10750.0,10194.0,9913.0,6608.0,8925.0,6346.0,7872.0,7193.0,7662.0,7359.0,8653.0,8176.0,7915.0,6674.0,6567.0,7600.0,5564.0,6737.0,7614.0,8012.0,7627.0,5883.0,7470.0,6949.0,5553.0,3952.0,3846.0,4361.0,3653.0,6827.0,8095.0,9425.0,6883.0,6708.0,13568.0,11566.0,10343.0,11651.0,10763.0,7019.0,7372.0,6735.0,8142.0,5724.0,5844.0,6155.0,6588.0,7293.0,5769.0,6830.0,3936.0,1968.0,1293.0,6311.0,4582.0,5538.0,1663.0,3155.0,3888.0,3311.0,4800.0,5094.0,4764.0,3201.0,2891.0,3219.0,1991.0,270.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandeur (HEV),승용차,내수,622.0,545.0,544.0,1232.0,604.0,1055.0,457.0,297.0,218.0,367.0,233.0,717.0,211.0,159.0,148.0,1046.0,1844.0,2470.0,2177.0,1595.0,2334.0,2227.0,2302.0,1886.0,1939.0,1625.0,1945.0,1728.0,2521.0,2271.0,2004.0,1305.0,1946.0,2300.0,2577.0,2407.0,2450.0,1837.0,3061.0,3186.0,2774.0,2700.0,2289.0,1153.0,1161.0,3040.0,2312.0,3745.0,2467.0,842.0,3032.0,3434.0,3073.0,4037.0,3618.0,3216.0,4218.0,4191.0,3506.0,3355.0,2237.0,2408.0,2629.0,2391.0,2033.0,2653.0,1311.0,1717.0,1923.0,3137.0,2336.0,2202.0,143.0,1335.0,2775.0,1881.0,2802.0,2825.0,2013.0,1405.0,1752.0,1442.0,740.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aslan,승용차,내수,266.0,151.0,168.0,176.0,174.0,158.0,80.0,91.0,98.0,197.0,134.0,508.0,57.0,25.0,94.0,48.0,39.0,39.0,27.0,22.0,24.0,24.0,39.0,52.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandeur (GN7),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,7486.0,5407.0,5419.0,5561.0,4818.0,4684.0,4012.0,3409.0,3492.0,3509.0,3913.0,3308.0,3610.0,1458.0,1960.0,3130.0,3585.0,3664.0,2488.0,2775.0,2674.0,2509.0,2949.0,2680.0,3515.0,2613.0,2331.0
Grandeur (GN7 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,3711.0,4396.0,5355.0,5179.0,6897.0,7516.0,5122.0,5328.0,4650.0,4279.0,4672.0,4800.0,2177.0,2003.0,2970.0,3500.0,3220.0,3215.0,3512.0,3513.0,3611.0,4484.0,2367.0,3697.0,3098.0,3150.0
